160,2804805,Nossa Senhora do Socorro,Sergipe,187 733
161,1702109,Araguaína,Tocantins,186 245
162,3305802,Teresópolis,Rio de Janeiro,185 820
163,3300407,Barra Mansa,Rio de Janeiro,185 237
164,4208906,Jaraguá do Sul,Santa Catarina,184 579
165,3129806,Ibirité,Minas Gerais,184 030
166,4109401,Guarapuava,Paraná,183 755
167,2111201,São José de Ribamar,Maranhão,180 345
168,3203205,Linhares,Espírito Santo,179 755
169,3522208,Itapecerica da Serra,São Paulo,179 574
170,3516309,Francisco Morato,São Paulo,179 372
171,4211900,Palhoça,Santa Catarina,178 679
172,3523909,Itu,São Paulo,177 150
173,3302858,Mesquita,Rio de Janeiro,177 016
174,5221858,Valparaíso de Goiás,Goiás,175 720
175,3507605,Bragança Paulista,São Paulo,172 346
176,3538006,Pindamonhangaba,São Paulo,171 885
177,2112209,Timon,Maranhão,171 317
178,3151800,Poços de Caldas,Minas Gerais,169 838
179,3302700,Maricá,Rio de Janeiro,167 668
180,3522307,Itapetininga,São Paulo,167 106
181,2103000,Caxias,Maranhão,166 159
182,2931350,Teixeira de Freitas,Bahia,164 290
183,3303203,Nilópolis,Rio de Janeiro,162 893
184,3548807,São Caetano do Sul,São Paulo,162 763
185,1500107,Abaetetuba,Pará,160 439
186,2603454,Camaragibe,Pernambuco,159 945
187,3304524,Rio das Ostras,Rio de Janeiro,159 529
188,3516408,Franco da Rocha,São Paulo,158 438
189,2903201,Barreiras,Bahia,158 432
190,2913606,Ilhéus,Bahia,157 639
191,4118204,Paranaguá,Paraná,157 378
192,4209300,Lages,Santa Catarina,157 158
193,2918001,Jequié,Bahia,156 277
194,3148004,Patos de Minas,Minas Gerais,154 641
195,3152501,Pouso Alegre,Minas Gerais,154 293
196,3530706,Mogi Guaçu,São Paulo,154 146
197,2207702,Parnaíba,Piauí,153 863
198,3525300,Jaú,São Paulo,153 463
199,2900702,Alagoinhas,Bahia,153 023
200,2925303,Porto Seguro,Bahia,152 529
201,3304144,Queimados,Rio de Janeiro,152 311
202,3507506,Botucatu,São Paulo,149 718
203,4202008,Balneário Camboriú,Santa Catarina,149 227
204,5107909,Sinop,Mato Grosso,148 960
205,4101804,Araucária,Paraná,148 522
206,3504107,Atibaia,São Paulo,145 378
207,3547304,Santana de Parnaíba,São Paulo,145 073
208,4127700,Toledo,Paraná,144 601
209,4320008,Sapucaia do Sul,Rio Grande do Sul,142 508
210,2606002,Garanhuns,Pernambuco,141 347
211,3168606,Teófilo Otoni,Minas Gerais,141 269
212,1502103,Cametá,Pará,140 814
213,4202909,Brusque,Santa Catarina,140 597
214,2616407,Vitória de Santo Antão,Pernambuco,140 389
215,3105608,Barbacena,Minas Gerais,139 061
216,2513703,Santa Rita,Paraíba,138 093
217,3156700,Sabará,Minas Gerais,137 877
218,3170701,Varginha,Minas Gerais,137 608
219,4101408,Apucarana,Paraná,137 438
220,2930709,Simões Filho,Bahia,137 117
221,3503307,Araras,São Paulo,136 739
222,3302007,Itaguaí,Rio de Janeiro,136 547
223,3300209,Araruama,Rio de Janeiro,136 109
224,1504422,Marituba,Pará,135 812
225,1507300,São Félix do Xingu,Pará,135 732
226,4104204,Campo Largo,Paraná,135 678
227,4119152,Pinhais,Paraná,134 788
228,3204906,São Mateus,Espírito Santo,134 629
229,2304202,Crato,Ceará,133 913
230,3304201,Resende,Rio de Janeiro,133 244
231,3556206,Valinhos,São Paulo,133 169
232,3513504,Cubatão,São Paulo,132 521
233,4316808,Santa Cruz do Sul,Rio Grande do Sul,132 271
234,4303103,Cachoeirinha,Rio Grande do Sul,132 144
235,5221403,Trindade,Goiás,132 006
236,3171204,Vespasiano,Minas Gerais,131 849
237,2306405,Itapipoca,Ceará,131 687
238,2307700,Maranguape,Ceará,131 677
239,1100122,Ji-Paraná,Rondônia,131 026
240,3118304,Conselheiro Lafaiete,Minas Gerais,130 584
241,1501709,Bragança,Pará,130 122
242,1501303,Barcarena,Pará,129 333
243,3202405,Guarapari,Espírito Santo,128 504
244,3551702,Sertãozinho,São Paulo,128 432
245,3525003,Jandira,São Paulo,127 734
246,4322400,Uruguaiana,Rio Grande do Sul,126 766
247,4101507,Arapongas,Paraná,126 545
248,3506508,Birigui,São Paulo,126 094
249,5208004,Formosa,Goiás,125 705
250,2107506,Paço do Lumiar,Maranhão,125 265
251,3543303,Ribeirão Pires,São Paulo,125 238
252,3510500,Caraguatatuba,São Paulo,125 194
253,5008305,Três Lagoas,Mato Grosso do Sul,125 137
254,1600600,Santana,Amapá,124 808
255,3557006,Votorantim,São Paulo,124 468
256,3201506,Colatina,Espírito Santo,124 283
257,3556503,Várzea Paulista,São Paulo,124 269
258,3523404,Itatiba,São Paulo,124 254
259,3554003,Tatuí,São Paulo,124 134
260,3505500,Barretos,São Paulo,123 546
261,2103307,Codó,Maranhão,123 368
262,3518404,Guaratinguetá,São Paulo,123 192
263,3511102,Catanduva,São Paulo,123 114
264,4302105,Bento Gonçalves,Rio Grande do Sul,123 090
265,3131703,Itabira,Minas Gerais,121 717
266,4301602,Bagé,Rio Grande do Sul,121 518
267,5220454,Senador Canedo,Goiás,121 447
268,4100400,Almirante Tamandaré,Paraná,121 420
269,3545209,Salto,São Paulo,120 779
270,2606804,Igarassu,Pernambuco,119 690
271,5215231,Novo Gama,Goiás,119 649
272,3539806,Poá,São Paulo,119 221
273,2924009,Paulo Afonso,Bahia,119 213
274,3103504,Araguari,Minas Gerais,118 361
275,3169901,Ubá,Minas Gerais,117 995
276,1500602,Altamira,Pará,117 320
277,4119509,Piraquara,Paraná,116 852
278,1508100,Tucuruí,Pará,116 605
279,1303403,Parintins,Amazonas,116 439
280,3147907,Passos,Minas Gerais,115 970
281,1505502,Paragominas,Pará,115 838
282,2910727,Eunápolis,Bahia,115 360
283,3534708,Ourinhos,São Paulo,115 139
284,2613701,São Lourenço da Mata,Pernambuco,114 910
285,3536505,Paulínia,São Paulo,114 508
286,2100055,Açailândia,Maranhão,113 783
287,4128104,Umuarama,Paraná,113 416
288,5205109,Catalão,Goiás,113 091
289,5003207,Corumbá,Mato Grosso do Sul,112 669
290,2612505,Santa Cruz do Capibaribe,Pernambuco,111 812
291,1507953,Tailândia,Pará,111 554
292,1100023,Ariquemes,Rondônia,111 148
293,3119401,Coronel Fabriciano,Minas Gerais,110 709
294,3143906,Muriaé,Minas Gerais,109 997
295,2510808,Patos,Paraíba,108 766
296,3104007,Araxá,Minas Gerais,108 403
297,3145208,Nova Serrana,Minas Gerais,108 241
298,4103701,Cambé,Paraná,108 126
299,5107958,Tangará da Serra,Mato Grosso,107 631
300,3305208,São Pedro da Aldeia,Rio de Janeiro,107 556
301,4307005,Erechim,Rio Grande do Sul,107 368
302,4218707,Tubarão,Santa Catarina,107 143
303,5211503,Itumbiara,Goiás,106 845
304,3302270,Japeri,Rio de Janeiro,106 296
305,2803500,Lagarto,Sergipe,106 015
306,3134202,Ituiutaba,Minas Gerais,105 818
307,3504008,Assis,São Paulo,105 768
308,3138203,Lavras,Minas Gerais,105 756
309,3526704,Leme,São Paulo,105 273
310,2101202,Bacabal,Maranhão,105 094
311,3200607,Aracruz,Espírito Santo,104 942
312,2412005,São Gonçalo do Amarante,Rio Grande do Norte,104 919
313,1100304,Vilhena,Rondônia,104 517
